rule_id,rule_name,target_table,rule_type,target_columns,pattern,min_value,max_value,code_group,dimension,threshold_rate,error_grade,cleansing_steps,datetime_kind,change_reason
DQ-COM-IN-001,Inbound 콜 ID 누락 검사,maps_databricks.bronze.inbound,NULL_CHECK,consultation_id,,,,,결손성,0.0,CRITICAL,,,초기 적재 (dq_config.DQ_RULES)
DQ-COM-IN-002,Inbound 고객 ID 누락 검사,maps_databricks.bronze.inbound,NULL_CHECK,customer_id,,,,,결손성,0.01,HIGH,,,초기 적재 (dq_config.DQ_RULES)
DQ-VAL-IN-001,Inbound 전화번호 정규식 검사,maps_databricks.bronze.inbound,PATTERN_CHECK,phone_number,"^01[0-9][0-9]{7,8}$",,,,유효성,0.005,MEDIUM,"CLN-COM-001,CLN-VAL-001",,초기 적재 (dq_config.DQ_RULES)
DQ-VAL-IN-002,Inbound 상태 코드 유효성 검사,maps_databricks.bronze.inbound,CODE_EXISTS,status,,,,CONSULTATION_STATUS,유효성,0.0,HIGH,"CLN-COM-001,CLN-VAL-003",,초기 적재 (dq_config.DQ_RULES)
DQ-VAL-IN-003,Inbound 콜유형 코드 마스터 검증,maps_databricks.bronze.inbound,CODE_EXISTS,inbound_type,,,,INBOUND_TYPE,유효성,0.05,LOW,"CLN-COM-001,CLN-VAL-003",,초기 적재 (dq_config.DQ_RULES)
DQ-CON-IN-001,Inbound 통화시작/종료 시각 순서 검사,maps_databricks.bronze.inbound,ORDER_CHECK,"started_at,ended_at",,,,,일관성,0.0,HIGH,,,초기 적재 (dq_config.DQ_RULES)
DQ-UNI-IN-001,Inbound consultation_id 중복 검사,maps_databricks.bronze.inbound,DUPLICATE_CHECK,consultation_id,,,,,유일성,0.0,CRITICAL,,,초기 적재 (dq_config.DQ_RULES)
DQ-VAL-IN-004,Inbound 정책 상태 유효성,maps_databricks.bronze.inbound,CODE_EXISTS,policy_status,,,,POLICY_STATUS,유효성,0.02,MEDIUM,"CLN-COM-001,CLN-VAL-003",,초기 적재 (dq_config.DQ_RULES)
DQ-COM-IN-003,Inbound 상담원 ID 필수 검사,maps_databricks.bronze.inbound,NULL_CHECK,agent_id,,,,,결손성,0.05,LOW,,,초기 적재 (dq_config.DQ_RULES)
DQ-COM-OUT-001,Outbound CTI ID 누락 검사,maps_databricks.bronze.outbound,NULL_CHECK,CTI_ID,,,,,결손성,0.0,CRITICAL,,,초기 적재 (dq_config.DQ_RULES)
DQ-CON-OUT-001,Outbound 통화시작/연결 시각 순서 검사,maps_databricks.bronze.outbound,ORDER_CHECK,"CALL_ST_DTM,CALL_CONN_DTM",,,,,일관성,0.0,HIGH,,,초기 적재 (dq_config.DQ_RULES)
DQ-VAL-OUT-001,Outbound 수신번호 패턴 검사,maps_databricks.bronze.outbound,PATTERN_CHECK,HP_NO,"^01[0-9][0-9]{7,8}$",,,,유효성,0.005,MEDIUM,"CLN-COM-001,CLN-VAL-001",,초기 적재 (dq_config.DQ_RULES)
DQ-VAL-OUT-002,Outbound 결과 코드 검증,maps_databricks.bronze.outbound,CODE_EXISTS,CONN_RSLT_CD,,,,CONN_RESULT,유효성,0.0,HIGH,"CLN-COM-001,CLN-VAL-003",,초기 적재 (dq_config.DQ_RULES)
DQ-UNI-OUT-001,Outbound 리드관리번호 중복 검사,maps_databricks.bronze.outbound,DUPLICATE_CHECK,LEAD_MGMT_NO,,,,,유일성,0.0,CRITICAL,,,초기 적재 (dq_config.DQ_RULES)
DQ-COM-OUT-002,Outbound 캠페인 코드 누락 검사,maps_databricks.bronze.outbound,NULL_CHECK,CMPGN_CD,,,,,결손성,0.01,MEDIUM,,,초기 적재 (dq_config.DQ_RULES)
DQ-COM-SF-001,Salesforce ID 누락 검사,maps_databricks.bronze.salesforce,NULL_CHECK,Id,,,,,결손성,0.0,CRITICAL,,,초기 적재 (dq_config.DQ_RULES)
DQ-COM-SF-002,Salesforce 상담번호 누락 검사,maps_databricks.bronze.salesforce,NULL_CHECK,Consultation_No__c,,,,,결손성,0.01,HIGH,,,초기 적재 (dq_config.DQ_RULES)
DQ-VAL-SF-001,Salesforce 프로세스 상태 코드 검증,maps_databricks.bronze.salesforce,CODE_EXISTS,Process_Status__c,,,,Process_Status__c,유효성,0.0,HIGH,"CLN-COM-001,CLN-VAL-003",,초기 적재 (dq_config.DQ_RULES)
DQ-VAL-SF-002,Salesforce 고객 타입 검증,maps_databricks.bronze.salesforce,CODE_EXISTS,Customer_Type__c,,,,Customer_Type__c,유효성,0.0,MEDIUM,"CLN-COM-001,CLN-VAL-003",,초기 적재 (dq_config.DQ_RULES)
DQ-VAL-SF-003,Salesforce 신규 채널 코드 검토(REVIEW),maps_databricks.bronze.salesforce,CODE_EXISTS,Referrer_Channel__c,,,,Referrer_Channel__c,유효성,0.0,REVIEW,,,초기 적재 (dq_config.DQ_RULES)
DQ-CON-SF-001,Salesforce 생성/수정 일시 순서 검사,maps_databricks.bronze.salesforce,ORDER_CHECK,"CreatedDate,LastModifiedDate",,,,,일관성,0.0,HIGH,,,초기 적재 (dq_config.DQ_RULES)
DQ-UNI-SF-001,Salesforce Consultation_No__c 중복 검사,maps_databricks.bronze.salesforce,DUPLICATE_CHECK,Consultation_No__c,,,,,유일성,0.0,CRITICAL,,,초기 적재 (dq_config.DQ_RULES)
DQ-COM-SF-003,Salesforce 고객 ID 누락 검사,maps_databricks.bronze.salesforce,NULL_CHECK,Customer_Id__c,,,,,결손성,0.02,MEDIUM,,,초기 적재 (dq_config.DQ_RULES)
DQ-COM-WEB-001,홈페이지 민원 접수번호 누락 검사,maps_databricks.bronze.homepage,NULL_CHECK,COMPLAINT_ID,,,,,결손성,0.0,CRITICAL,,,초기 적재 (dq_config.DQ_RULES)
DQ-VAL-WEB-001,홈페이지 이메일 형식 검사,maps_databricks.bronze.homepage,PATTERN_CHECK,CONTACT_EMAIL,"^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$",,,,유효성,0.01,MEDIUM,,,초기 적재 (dq_config.DQ_RULES)
DQ-VAL-WEB-002,홈페이지 민원 유형 코드 검증,maps_databricks.bronze.homepage,CODE_EXISTS,COMPLAINT_TP,,,,COMPLAINT_TYPE,유효성,0.0,HIGH,"CLN-COM-001,CLN-VAL-003",,초기 적재 (dq_config.DQ_RULES)
DQ-UNI-WEB-001,홈페이지 COMPLAINT_ID 중복 검사,maps_databricks.bronze.homepage,DUPLICATE_CHECK,COMPLAINT_ID,,,,,유일성,0.0,CRITICAL,,,초기 적재 (dq_config.DQ_RULES)
